imdbId,title,genre,score,viewers
tt0322653,Mere Yaar Ki Shaadi Hai(2002),Comedy | Drama | Musical,5.4,2.4K
tt0323013,Lakshya(2004),War | Drama | Romance,7.8,24K
tt0324951,23rd March 1931: Shaheed(2002),Biography | Drama | History,5.2,774
tt0325041,Badhaai Ho Badhaai(2002),Comedy | Drama | Musical,4.7,757
tt0326576,Humraaz(2002),Action | Musical | Mystery,6.4,3.7K
tt0326600,Maine Dil Tujhko Diya(2002),Romance | Action | Drama,4.0,1.2K
tt0326805,Chori Chori(2003),Comedy | Romance | Musical,4.9,934
tt0326983,Jaani Dushman: Ek Anokhi Kahani(2002),Action | Fantasy | Horror,2.6,3.7K
tt0327004,Kuch Tum Kaho Kuch Hum Kahein(2002),Action | Drama | Romance,5.9,675
tt0327005,Kyaa Dil Ne Kahaa(2002),Family | Romance,2.9,303
tt0327071,Om Jai Jagadish(2002),Drama | Musical,5.5,2.1K
tt0328503,Taj Mahal: An Eternal Love Story(2005),Drama | Musical | Romance,5.4,190
tt0328671,Yeh Hai Jalwa(2002),Comedy | Drama | Romance,4.8,2.7K
tt0328729,Dil Maange More!!!(2004),Romance,5.2,2K
tt0328998,Dil Hai Tumhaara(2002),Drama | Family | Romance,5.5,2.1K
tt0329620,Soch(2002),Thriller,4.4,103
tt0330082,Boom(2003),Action | Crime | Mystery,2.3,1.5K
tt0330217,Dil Ka Rishta(2003),Romance,4.8,1.8K
tt0330783,Pran Jaaye Par Shaan Na Jaaye(2003),Drama | Comedy,6.2,344
tt0330843,Saathiya(2002),Drama | Romance,6.8,7.5K
tt0331216,Chor Machaaye Shor(2002),Action | Comedy | Crime,4.3,1.3K
tt0331256,Gunaah(2002),Crime | Drama,3.5,391
tt0331421,Akhiyon Se Goli Maare(2002),Comedy,5.1,1.1K
tt0331453,Chhal(2002),Action | Thriller | Drama,6.7,214
tt0331479,Ek Chhotisi Love Story(2002),Comedy | Drama | Fantasy,3.1,599
tt0331639,Shakthi: The Power(2002),Action | Drama,6.1,5.2K
tt0331851,Armaan(2003),Drama | Family | Romance,5.3,1.2K
tt0332766,Sur: The Melody of Life(2002),Drama | Musical,6.5,557
tt0335044,Dil Vil Pyar Vyar(2002),Romance,5.4,511
tt0335592,Pyaasa(2002),Romance |Drama |Musical,3.4,109
tt0337578,Baghban(2003),Drama | Romance,7.4,17K
tt0337633,Hathyar: Face to Face with Reality(2002),Action | Thriller | Crime,5.7,763
tt0337652,Jeena Sirf Merre Liye(2002),Romance,4.0,828
tt0337971,Deewangee(2002),Crime | Thriller | Drama,6.5,3K
tt0337998,Ek Hindustani(2003),Action,6.2,54
tt0338477,Talaash: The Hunt Begins...(2003),Action | Adventure | Crime,4.3,1.6K
tt0338566,Yeh Kya Ho Raha Hai?(2002),Comedy | Romance,4.7,261
tt0338721,Annarth(2002),Action | Thriller,3.0,162
tt0338959,Ek Se Badhkar Ek(2004),Comedy | Thriller,4.6,188
tt0339878,Waah! Tera Kya Kehna(2002),Comedy,3.7,324
tt0340178,Jaal: The Trap(2003),Action | Musical | Drama,4.3,568
tt0340464,Zindagi Khoobsoorat Hai(2002),Drama | Family,5.6,61
tt0341266,Bhoot(2003),Horror | Thriller,6.4,3.9K
tt0341458,Maseeha(2002),Action | Crime | Drama,4.0,96
tt0341549,Rishtey(2002),Family,4.8,1K
tt0341562,Satta(2003),Crime | Drama,6.8,597
tt0342624,Karz: The Burden of Truth(2002),Action,4.0,458
tt0345043,Chura Liyaa Hai Tumne(2003),Action | Drama | Mystery,3.8,504
tt0345102,Danger(2002),Crime | Drama | Thriller,6.9,62
tt0345594,Love at Times Square(2003),Drama,2.3,236
tt0346457,The Rising: Ballad of Mangal Pandey(2005),Biography | Drama | History,6.5,10K
tt0346507,Andaaz(2003),Drama | Musical | Romance,5.2,2.7K
tt0346548,Avgat(2001),Action | Crime | Drama,5.4,20
tt0346723,Chalte Chalte(2003),Drama | Romance,6.5,16K
tt0347167,The Hero: Love Story of a Spy(2003),Action | Adventure | Drama,5.4,2.5K
tt0347278,Jhankaar Beats(2003),Comedy | Musical | Romance,7.2,2.1K
tt0347304,Kal Ho Naa Ho(2003),Comedy | Drama | Romance,7.9,72K
tt0347332,Khakee(2004),Action | Drama,7.4,16K
tt0347416,LOC: Kargil(2003),Drama | War,5.3,3.3K
tt0347473,Main Hoon Na(2004),Action | Comedy | Romance,7.0,38K
tt0347779,Pinjar(2003),Drama,7.9,2.9K
tt0348172,Tehzeeb(2003),Drama,5.7,568
tt0348190,Tere Liye(2001),Drama | Family | Musical,5.5,65
tt0348258,Tujhe Meri Kasam(2003),Romance,6.3,461
tt0348521,Aapko Pehle Bhi Kahin Dekha Hai(2003),Action | Comedy | Drama,4.7,318
tt0348656,Khushi(2003),Action | Drama | Romance,4.2,1.7K
tt0348662,Kucch To Hai(2003),Drama | Horror | Mystery,4.3,966
tt0348824,Chalo Ishq Ladaaye(2002),Comedy | Romance,4.4,591
tt0348843,Jism(2003),Drama | Romance | Thriller,5.3,2.3K
tt0349058,88 Antop Hill(2003),Thriller,4.6,77
tt0349115,Baaz: A Bird in Danger(2003),Thriller,3.4,398
tt0349333,Darna Mana Hai(2003),Horror | Adventure,6.3,3.7K
tt0349620,Inteqam: The Perfect Game(2004),Action |Romance,5.1,103
tt0349679,Khwahish(2003),Drama | Romance | Musical,4.2,222
tt0349703,Kyun! Ho Gaya Na...(2004),Comedy | Drama | Romance,4.3,1.9K
tt0352314,Ek Hasina Thi(2004),Crime | Romance | Thriller,7.5,7.6K
tt0352489,Kash... Aap Hamare Hote(2003),Family | Musical | Romance,5.1,96
tt0352830,Sssshhh...(2003),Horror | Mystery,4.4,396
